way|1368163973|0||ESB Generation and Wholesale Markets
way|1368163974|0||ESB Generation and Wholesale Markets
way|1372533122|0|0|ESB Networks
way|1384097658|0|320000|scottishpowerrenewables
way|1384346085|0|320000|Orsted
way|1389008505|0|320000|
way|1389008506|0|320000|
way|1389747526|0||
way|1411833823|0|400000|
way|1411949364|0||Iberdrola
way|1411949365|0||Iberdrola
way|1411949366|0||Iberdrola
way|1411949367|0||Iberdrola
way|1411949368|0||Iberdrola
way|1411949369|0||Iberdrola
way|1411949370|0||Iberdrola
way|1411949371|0||Iberdrola
way|1411949372|0||Iberdrola
way|1411949373|0||Iberdrola
way|1411949374|0||Iberdrola
way|1411949375|0||Iberdrola
way|1411949376|0||Iberdrola
way|1411949377|0||Iberdrola
way|1411949378|0||Iberdrola
way|1413024800|0||ESB Generation and Wholesale Markets
way|1413024801|0||ESB Generation and Wholesale Markets
way|1413024802|0||ESB Generation and Wholesale Markets
way|1413024803|0||ESB Generation and Wholesale Markets
way|1413024804|0||ESB Generation and Wholesale Markets
way|1417956645|0|320000|
way|1417956646|0|320000|
way|1418037538|0|320000|
way|1418037539|0|320000|
way|1418037540|0|320000|
way|1418037541|0|320000|
way|1418322693|0|320000|
way|1418322694|0|320000|
way|1418322695|0|320000|
way|1418322696|0|320000|
way|1418322697|0|320000|
way|1418322698|0|320000|
way|1418322699|0|320000|
way|1418322700|0|320000|
way|1418322701|0|320000|
way|1418322702|0|320000|
way|1418322703|0|320000|
way|1418322704|0|320000|
way|1418322714|0|320000|
way|1418322715|0|320000|
way|1446872469|0|320000|
way|1446872470|0|320000|
relation|20164710|0|320000|
way|8031374|16.7|110000|DB Energie GmbH
way|19260538|16.7|110000|DB Energie
way|19260540|16.7|110000|DB Energie
way|19261090|16.7|110000|DB Energie
way|20930765|16.7|110000|DB Energie GmbH
way|23141659|16.7|110000|DB Energie GmbH
way|23544443|16.7|110000|DB Energie GmbH
way|23597731|16.7|110000|DB Energie GmbH
way|23598308|50;16.7|110000;15000|DB Energie
way|23744744|16.7|110000|DB Energie GmbH
way|23902392|50;16.7|110000|DB Energie GmbH
