line_id,navn,eier,voltage_kv,geod_km,nve_layer,osm_covered_frac,driftsattaar,snap0,snap1,bus0,bus1
nve/sjokabel/8300,,STATKRAFT ENERGI AS,132.0,0.46096785957015296,sjokabel,0.0,,nve_junction,existing,nve_jn_0071_132,st0023395_132kV
nve/sjokabel/8376,,STATKRAFT ENERGI AS,132.0,1.5280788838497732,sjokabel,0.03225806451612903,,existing,nve_junction,st0023676_132kV,nve_jn_0069_132
nve/sjokabel/8387,,STATKRAFT ENERGI AS,420.0,0.7651209939237512,sjokabel,0.0625,,nve_junction,existing,nve_jn_0070_420,st0023389_420kV
nve/sjokabel/8396,,STATKRAFT ENERGI AS,132.0,0.46096785957015296,sjokabel,0.0,,nve_junction,existing,nve_jn_0071_132,st0023395_132kV
nve/sjokabel/8472,,STATKRAFT ENERGI AS,132.0,1.5280788838497732,sjokabel,0.03225806451612903,,existing,nve_junction,st0023676_132kV,nve_jn_0069_132
nve/sjokabel/8483,,STATKRAFT ENERGI AS,420.0,0.7651209939237512,sjokabel,0.0625,,nve_junction,existing,nve_jn_0070_420,st0023389_420kV
nve/sjokabel/8492,,STATKRAFT ENERGI AS,132.0,0.46096785957015296,sjokabel,0.0,,nve_junction,existing,nve_jn_0071_132,st0023395_132kV
nve/sjokabel/8568,,STATKRAFT ENERGI AS,132.0,1.5280788838497732,sjokabel,0.03225806451612903,,existing,nve_junction,st0023676_132kV,nve_jn_0069_132
nve/sjokabel/8579,,STATKRAFT ENERGI AS,420.0,0.7651209939237512,sjokabel,0.0625,,nve_junction,existing,nve_jn_0070_420,st0023389_420kV
nve/sjokabel/8588,,STATKRAFT ENERGI AS,132.0,0.46096785957015296,sjokabel,0.0,,nve_junction,existing,nve_jn_0071_132,st0023395_132kV
nve/sjokabel/8664,,STATKRAFT ENERGI AS,132.0,1.5280788838497732,sjokabel,0.03225806451612903,,existing,nve_junction,st0023676_132kV,nve_jn_0069_132
nve/sjokabel/8675,,STATKRAFT ENERGI AS,420.0,0.7651209939237512,sjokabel,0.0625,,nve_junction,existing,nve_jn_0070_420,st0023389_420kV
nve/sjokabel/8684,,STATKRAFT ENERGI AS,132.0,0.46096785957015296,sjokabel,0.0,,nve_junction,existing,nve_jn_0071_132,st0023395_132kV
nve/sjokabel/8732,OK23 SJØ,LNETT AS,52.0,0.6763433186106538,sjokabel,0.14285714285714285,1986.0,unsnapped,unsnapped,,
nve/sjokabel/8741,RE_132HL02_02_2,MELLOM AS,132.0,2.257152116494227,sjokabel,0.1956521739130435,1978.0,unsnapped,unsnapped,,
nve/sjokabel/8743,RE_132HL07_3,MELLOM AS,132.0,5.031674647073549,sjokabel,0.297029702970297,2005.0,unsnapped,unsnapped,,
